SampleID,genus_shannon,genus_evenness,genus_richness,species_shannon,species_evenness,species_richness
134_V12,0.7427206209112568,0.0037016989105329258,324,2.2050707682584254,0.0037410550299321124,581
134_V2,1.257175154198791,0.01956896060768512,109,1.698248267490391,0.01236828233109204,198
134_V3,1.332106001557366,0.012215845394476631,175,1.8554796625045928,0.009169316012587393,286
134_V5,1.3913764714669172,0.008749614297175681,221,2.1944783954784017,0.0065775184908279105,428
134_V6,1.1756461728155847,0.008170132290744559,190,1.824115149967551,0.0054849314651393855,360
134_V7,1.6174760499635779,0.008703977014206459,226,2.255012713889136,0.005797177650468657,438
134_V8,1.5765879077509994,0.010010156019313885,234,2.8830691769791517,0.011011750783406708,466
134_V9,1.6504169639526578,0.008772587576730103,239,2.5823680791856622,0.0058128517464586076,479
135_S1,1.8691408243651892,0.009045060126722784,236,2.6182847415609727,0.006402165419683138,429
135_V2,1.209017559756928,0.02310977918967982,75,1.6713407996050103,0.012815797970019277,165
135_V5,2.099714014467538,0.015459159808811112,209,2.5180200708251883,0.008856717324525467,394
135_V6,2.4257373216283895,0.01286197432839392,307,2.7456769949695627,0.006914631234743209,605
135_V7,1.2852977363054572,0.0062672331317913405,260,1.8421055589949507,0.0042662904907344035,465
136_V10,0.7351402983340176,0.003737974972028797,323,2.7948891188942877,0.006366514737301772,577
136_V11,1.6672568286760396,0.004367494404215964,409,3.221410972974562,0.0045569377352788504,840
136_V12,1.640978532851202,0.004923368709653916,448,3.3964444418586845,0.006468827485928967,805
136_V2_1,1.3848815475823169,0.014612345079485863,115,1.566276483513697,0.006573872840209024,246
136_V2_2,0.5807522415973778,0.01045311164612833,112,0.621094517749015,0.005552451370151379,211
136_V4,2.7826704607307207,0.014495345645272302,322,3.733013704518309,0.013432555614582382,645
136_V5,3.280101358721154,0.029850555096743732,244,3.5237897092000674,0.01483040593520577,491
136_V6,1.6375048727719794,0.007546984972805846,244,1.8687100767471396,0.004149495543752453,479
136_V7,2.2208756137335857,0.010737618687714136,303,2.7031260997084567,0.007351633852502308,587
136_V8,1.6571082807592603,0.007441918755651939,281,3.042735100427553,0.01082815998472901,526
136_V9,1.3401399521141535,0.004840871503891128,342,2.8881526018839243,0.005991658225861573,632
201_A1,1.6916256038504023,0.0056087013969986,371,3.1791040039887073,0.00832870963628971,666
201_A1_2,1.4551134052719445,0.005598145287699344,334,2.936818299293302,0.007267104518174987,611
201_AF1,1.4429494606650624,0.007261099409933751,271,2.9788924354629644,0.010879396805289881,459
201_S1,1.0290094191497337,0.003923539398313942,345,2.7179081002810737,0.006506413118321557,621
201_S3,2.095701948982723,0.004753748370188973,441,3.677199573379723,0.0062230758061306134,822
201_S4,2.2678843761674266,0.007627995655990403,372,3.628663376838286,0.007597792897084394,701
201_S4F,1.8221021478475354,0.0057404458522166205,358,3.3563570186052303,0.008013522084150442,640
201_V2,1.2848125055159718,0.012044618705659035,164,2.203627359245262,0.011986070256904001,301
201_V4,1.5981841019339933,0.01166143659338284,188,2.2187201435388877,0.008323900678252177,344
201_V5,1.3841861299975875,0.014665505013595771,139,2.697020629552341,0.017426586991306368,248
201_V6,2.2663016850998954,0.014296868028647497,260,3.388790164142083,0.011978607301050386,526
202_A1,1.7628521559094008,0.00591922237830739,344,2.594489167573197,0.003654358441827737,699
202_S1,1.8792964183534526,0.005882782861519138,337,3.1771321150797567,0.0060510253435835624,644
202_V2,1.2843988705618123,0.01938799356306625,110,1.7242619052546004,0.010320602628244252,235
202_V6,1.1819201840995888,0.006938060784649409,227,2.5599221739264504,0.007558995986415034,414
202_V7,1.4922794754005468,0.00496405343384156,334,2.618840564191671,0.003876001189042709,606
202_V9,3.039446829552936,0.021428570171568212,263,3.4945593996258775,0.010365124204064963,607
203_S1,2.277918700764047,0.03515523134217268,108,2.614044592332441,0.015082264725734802,268
203_S3,0.8683467754479222,0.005832172574166946,214,1.4234510008892778,0.0036334785577336907,408
203_V1,1.3541714673849394,0.034163138004635774,59,2.0556416244539837,0.01515355811955586,163
203_V3,1.876211934386805,0.03383687330122469,94,1.9274060761737353,0.012354784950150808,215
203_V5,2.199147726020737,0.019515119282573413,171,2.1114758430803935,0.00801917214349677,380
203_V7,0.9120552759830556,0.00671188157512333,190,1.4474516477427861,0.004375535068727411,346
203_V8,0.9306189115315537,0.005603677743684405,228,1.4826224216781676,0.0036205931374028617,420
204_A2F_1,1.2224633111540777,0.003515170908575969,395,3.201646438486012,0.006300795472800213,693
204_A2F_2,1.5696622772891689,0.003876326055426503,399,3.7254054580247367,0.008306054297058297,742
204_S2,1.1779341774180851,0.003590374381637769,393,3.120093844795337,0.006281400874243063,707
204_V10,0.5802032433063902,0.003422035414594001,333,2.7386566190584154,0.007250947873740917,565
204_V11,0.7550487263866991,0.0029845439168072127,396,3.156332900711265,0.008859665440459187,669
204_V12,1.8377634934975913,0.003825308343820254,495,3.7123281838532063,0.007314352070022732,930
204_V2,1.7782369462518053,0.02061837697292493,131,2.9589398588532543,0.020559425347748975,246
204_V4,0.9604534480859496,0.008663090768793388,170,2.3289872280799977,0.010104822107279584,311
204_V5,0.5687360042445258,0.007657043016523292,152,1.7934495342065127,0.008528633123725395,262
204_V6,0.7188262577188008,0.00522941589181878,230,2.292255775664161,0.006354735292623738,405
204_V7,0.9121380499158999,0.004203567637389731,305,2.4660888720389433,0.005577880860908731,543
204_V8,1.8107427060428951,0.0044291009801805704,389,3.813369669879435,0.010244174580846612,731
205_A1,1.1349575832814554,0.004315157620188215,342,2.3837954956495873,0.0050864629678470195,614
205_A1F,2.3680742537272983,0.006581921081331472,420,3.4684685809235067,0.008199116520438757,759
205_S2,2.102989921128443,0.00501976181458283,477,3.5240600170972614,0.0073649416128194105,897
205_V10,1.03419090085724,0.004235105765610355,333,2.1534002570436073,0.005545133791169074,546
205_V12,1.4692990554614376,0.0036479001757211303,461,2.9805055466530535,0.005339702058634602,860
205_V2,1.0659647477024115,0.019749359019834573,87,1.1714800314828422,0.009097225676004022,194
205_V5,0.9197816281960618,0.014411114219152787,101,0.9767411759705412,0.008263109647094062,176
205_V6,1.563473376479033,0.022051910924090878,109,1.6561615645197998,0.012253769616444246,196
205_V8,0.9380989985939236,0.012854449985965641,109,1.2867200213686356,0.009312529754209556,161
205_V9,0.41920664307134603,0.004159779366548128,265,1.51568272061637,0.004734341128465657,452
206_V1,1.1682987984084838,0.007317881473846895,218,2.6070684143628,0.008296729125338563,391
206_V11,1.7751488794759953,0.004597145258197955,398,3.3426390059354087,0.005457803225010028,737
206_V5,1.9630096649458926,0.008338389469427908,323,3.3404084602778377,0.009361181017594752,595
206_V6,2.1686181506017843,0.010869078064334922,291,3.278071559577859,0.010059300339681764,547
206_V8,1.7218022707125193,0.007804336595027867,268,2.390535950374732,0.005421052089188947,510
208_V10,2.9176893291867123,0.009609975648363838,492,4.125328342044415,0.011706079215344665,1004
