module	module_size	in_in	in_out	out_in	out_out	odds_ratio	p_value	p_adj
M00555	6	0	378	6	2131	0.0	1.0	1.0
M00563	23	0	378	23	2114	0.0	1.0	1.0
M00564	27	0	378	27	2110	0.0	1.0	1.0
M00543	7	0	378	7	2130	0.0	1.0	1.0
M00048	24	0	378	24	2113	0.0	1.0	1.0
M00046	6	0	378	6	2131	0.0	1.0	1.0
M00569	12	0	378	12	2125	0.0	1.0	1.0
M00570	8	0	378	8	2129	0.0	1.0	1.0
M00042	5	0	378	5	2132	0.0	1.0	1.0
M00573	5	0	378	5	2132	0.0	1.0	1.0
M00574	5	0	378	5	2132	0.0	1.0	1.0
M00039	12	0	378	12	2125	0.0	1.0	1.0
M00038	11	0	378	11	2126	0.0	1.0	1.0
M00580	5	0	378	5	2132	0.0	1.0	1.0
M00595	7	0	378	7	2130	0.0	1.0	1.0
M00596	5	0	378	5	2132	0.0	1.0	1.0
M00567	37	0	378	37	2100	0.0	1.0	1.0
M00542	17	0	378	17	2120	0.0	1.0	1.0
M00541	9	0	378	9	2128	0.0	1.0	1.0
M00540	5	0	378	5	2132	0.0	1.0	1.0
M00358	5	0	378	5	2132	0.0	1.0	1.0
M00370	6	0	378	6	2131	0.0	1.0	1.0
M00371	9	0	378	9	2128	0.0	1.0	1.0
M00372	7	0	378	7	2130	0.0	1.0	1.0
M00373	13	0	378	13	2124	0.0	1.0	1.0
M00072	8	0	378	8	2129	0.0	1.0	1.0
M00375	18	0	378	18	2119	0.0	1.0	1.0
M00071	5	0	378	5	2132	0.0	1.0	1.0
M00377	10	0	378	10	2127	0.0	1.0	1.0
M00378	6	0	378	6	2131	0.0	1.0	1.0
M00415	13	0	378	13	2124	0.0	1.0	1.0
M00418	9	0	378	9	2128	0.0	1.0	1.0
M00422	5	0	378	5	2132	0.0	1.0	1.0
M00432	5	0	378	5	2132	0.0	1.0	1.0
M00433	6	0	378	6	2131	0.0	1.0	1.0
M00525	9	0	378	9	2128	0.0	1.0	1.0
M00935	6	0	378	6	2131	0.0	1.0	1.0
M00065	17	0	378	17	2120	0.0	1.0	1.0
M00529	10	0	378	10	2127	0.0	1.0	1.0
M00530	9	0	378	9	2128	0.0	1.0	1.0
M00531	6	0	378	6	2131	0.0	1.0	1.0
M00064	6	0	378	6	2131	0.0	1.0	1.0
M00534	9	0	378	9	2128	0.0	1.0	1.0
M00059	10	0	378	10	2127	0.0	1.0	1.0
M00539	8	0	378	8	2129	0.0	1.0	1.0
M00356	19	0	378	19	2118	0.0	1.0	1.0
M00936	5	0	378	5	2132	0.0	1.0	1.0
